sample	amp_chr_1p_NOTCH2	amp_chr_1q_CKS1B	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC	amp_chr_8q_MYC_enhancer	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q_CCND1	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21p	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q	del_chr_3p	del_chr_3q	del_chr_4p	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q_NFKB2	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q_RB1	del_chr_14q_MAX	del_chr_14q_TRAF3	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p_TP53	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21p	del_chr_21q	del_chr_22q
Tumor_Only_081_pair	0.984	0.992	0.989	0.986	0.989	0.989	0.976	0.976	1	1	0.042	0.042	0.948	0.948	0	0	0	1	1	0	0	0.67	0.67	0.893	0.893	0	0	1	0.004	0.004	1	1	1	1	1	1	0	0	1	1	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0.014	0	0	0.002	0.002	0	0	0	0	0.016	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumor_Only_082_pair	0	0	0.005	0.01	1	1	0.17	0.773	0.022	0	0.993	1	0	0	0	0	0	0.921	0.921	0.001	0.001	1	1	0	0	0.04	0	1	0	0	0.938	0.938	0.028	0.028	0.841	0.841	0	0	0	0	0	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0.106	0	0	0.007	0.007	0.001	0.001	0	0	0	0	0	0	0.006	0.006	0	0.003	0.003	0	0.058	0.058	0	0	0	0	0	0	0.028	0.028	0.006	0.006	0.08
Tumor_Only_083_pair	0.031	1	0	0	0.994	0.994	0	0	0	0	0	0	0.01	0.001	0	0	0	1	1	0	0	0.009	0.009	0	0	0	0	1	0.029	0.029	0.028	0.028	0.992	0.992	0.057	0.057	0.012	0.012	0	0	0.029	0	0	0	0	0.009	0.009	0	0	0.023	0.023	0.005	0.005	0.015	0.015	0	0	0.013	0.001	0	0	0.013	0.013	0	0	0	0	1	0.98	0.98	0	0	0	0	0	0	0	0	0	0	0	0.004	0.004	0
Tumor_Only_084_pair	1	1	0	0	1	1	0	0	1	1	1	0.061	1	1	0.388	0.388	0.388	1	1	0	0	1	1	0.841	0.841	0	0.285	1	1	1	1	1	0	0	1	1	1	1	0.383	0.383	1	0	0	0	0	0	0.141	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0.806	0.806	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Tumor_Only_085_pair	0.205	1	1	1	1	1	0	0	1	1	1	0.288	1	1	0	0	0	1	1	0	0	0.197	0.197	0	0	0	0.002	1	1	1	0.402	0.402	0	0	1	1	0.191	0.191	1	1	0.519	0	0	0	0	0	0	0	0	0.254	0.254	0	0	0	0	0	0	0.084	0.084	0	0	0.088	0.088	0	0	0.101	0.101	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumor_Only_086_pair	0.064	1	1	0.026	0.101	0.533	0	0	0.012	0.012	0	0.012	0.001	0.001	0	0	0	0.042	0.042	0	0.024	0.045	0.045	0.019	0.019	0	0	0.056	0.044	0.044	0.06	0.06	0	0	0	0	0.069	0.069	0.04	0.04	0.093	0	0	0	0	0	0	0	0	0.015	0.015	0	0	0	0	0	0	1	0.005	0	0	0.001	0	0	0	0	0	0.035	0	0.96	0	0	0	0	0	0.01	0.01	0.022	0.007	0	0	0	0	0
Tumor_Only_087_pair	0.024	0.001	0.001	0.001	0.991	0.991	0	0	0	0	0.982	0.983	0.98	0.98	0	0	0	0.985	0.985	0	0	1	0.965	0	0	0.043	0.012	0.99	0.014	0.014	0.004	0.004	0.011	0.011	0.97	0.97	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0.015	0.015	0	0	0	0	0.012	0.012	0	0	0.007	0.007	0	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0.011	0.004	0.004	0
Tumor_Only_088_pair	1	1	0	0	0.196	0.196	0.947	0	0	0	0.022	0	0.812	0.736	0	0	0	1	1	0	0.003	1	1	0.035	0.035	0	1	0.979	1	1	1	1	0.109	0.109	1	1	1	1	0.186	0.186	1	0	0	0	0	0.161	0.161	0	0	0	1	1	1	0	0.27	0	0	0.003	0.003	0	0	0.639	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumor_Only_089_pair	0.016	0.022	0	0	0.955	0.955	0.996	0.84	0.99	0.99	0	0	0.991	0.991	0	0	0	1	1	0	0	1	1	0	0	0.018	1	0.011	0.138	0	0.005	0.005	1	1	0.955	0.96	0	0	0.02	0.02	0.021	0	0	0	0	0.012	0.012	0	0	0	0	0	0	0.003	0.258	0	0	0.01	0.01	0	0	0.012	0.009	0	0	0.013	0.013	0	0	0	0	0	0.199	0	0	0	0	0	0	0	0	0	0	0
Tumor_Only_090_pair	0.053	0.053	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.039	0.003	0	0.03	0.03	0	0	0	0.028	0.007	0.064	0.064	0.046	0.046	0	0	0.053	0.053	0.045	0.045	0.001	0.176	0	0	0	0	0	0.017	0.018	0.005	0.005	0.056	0.056	0.016	0.016	0	0.035	0.006	0.006	0.017	0.017	0.139	0	0	0.001	0	0	0.229	0.024	1	0	0	0	0	0	0	0	0.016	0.016	0	0	0	0	0	0	1
Tumor_Only_091_pair	0.023	0.023	0	0.003	0.002	0.002	0	0	0	0	0.001	0.001	0.018	0.018	0.004	0.004	0.004	0	1	0	0	0.027	0.027	0.002	0	0	0	0.003	0	0	0.023	0.023	0	0	0.023	0.023	0.021	0.021	0.014	0.014	0.04	0	0	0	0	0.007	0	0	0	0.01	0.01	0.005	0.005	0	0	0	0	0	0	0.002	0	0.006	0.006	0	0	0	0	0.001	0.018	0.018	0	0.311	1	0	0	0	0	0	0	0	0	0	0	0
Tumor_Only_092_pair	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.004	0	0.025	0.025	0.017	0.017	0	0	0.595	0	0	0	0	0	0	0.016	0.016	0.014	0	0	0	0.03	0.031	0	0.011	0.002	0.002	0	0	0	0	0	0.019	0.005	0.007	0.007	0.004	0.004	0.012	0.012	0.012	0.52	0	0	1	0	0	0	0.006	0.015	0	0.008	0.64	0.353	1	0.224	0	0.005	0	0	0	0.012	0	0	0	0	0.666	0	0	0	0.983
Tumor_Only_093_pair	0.014	0.014	0	0	0.755	0.996	0.003	0.003	1	1	0	0	1	1	0	0	0	0.009	0	0.005	0.005	0	0	0	0	0	0	0.858	0	0.011	0	0	0.012	0.012	0.988	0.988	0	0.013	0.005	0.005	0	0	0	0	0	0.013	0.013	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.047	0	0	0.007	0.007	0.005	0.005	1	0.009	0.009	0	0.008	0	0.002	0.002	0	0	0	0	0.261	0	0	0	0.609
Tumor_Only_094_pair	0	0	0.015	0.015	0.978	0.978	0.02	0.02	0.989	0.998	0.028	0.018	0.975	0.975	0.005	0.005	0.005	0.949	0.949	0	0	0.936	0.936	0.022	0	0.042	0	0.973	0	0	0	0	0.01	0.01	0.875	0.875	0	0	0.005	0.005	0	0.029	0.945	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.007	0	0	0	0.378	0	0.004	0.004	0	0.037	0.037	0.025	0.025	0	0	0	0	0.015	0.015	0	0	0.032
Tumor_Only_095_pair	0	0	0	0	0.993	0.993	0.015	0.959	0.995	0.995	0	0	0	0	0	0.026	0.026	1	1	0.982	0.975	1	1	0	0	0.028	0	1	0.065	0.03	0.003	0.003	1	1	1	1	0.002	0.002	1	1	0.026	0	0.035	0.944	0.005	0.049	0.003	0	0	0	0	0	0	0.002	0.008	0.012	0.012	0.997	0	0	0	0	0	0	0	0.027	0.027	0	0.941	0.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumor_Only_096_pair	0	0	0.004	0.004	0.003	0.003	0.006	0.006	0	0	0.003	0.003	0	0	0	0	0	0	0	0.01	0	0.089	1	0.002	0	0.015	0.093	0.001	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0.006	0.006	0	0	0	0	0	0	0	0.006	0	0	0	0	0.009	0.009	0.007	0.007	0.001	0.001	0.031	0.029	0	0	0	0	0.009
Tumor_Only_097_pair	0	1	0.024	0.024	0.037	0.037	0	0	0.051	0.103	0.017	0.017	0.022	0.032	0	0	0	0.011	0.011	0	0	0	0	0.021	0	0	0	0.054	0	0	0	0	0.045	0.045	0.922	0.922	0	0	0	0	0	0.328	0.328	0.328	0	0	0	0	0	0.68	0.68	0	0	0	0	0	0	0.268	0.268	0	0	0.315	0.301	0	0	0	0	0.202	1	1	0	0.022	1	0.023	0.023	0	0	0	0	0.006	0.006	0.234	0.234	0.066
Tumor_Only_099_pair	0	0	0.012	0	1	1	0.011	0.011	1	0.436	0.069	0.042	0.166	0.163	0	0	0	0.96	0.96	0.005	0	0.973	0.973	0	0	0.029	0.002	1	0	0	0	0	0.023	0.023	1	1	0	0	0.021	0.021	0	0.944	0.944	0.944	0.03	0	0.002	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0	0	0.025	0.025	0	0	0	0	0.097	0.097	0.094	0.068	0	0	0	0	0.119	0.119	0	0	0.093
Tumor_Only_100_pair	0.103	0.103	0.001	0.001	0.039	0.039	0.002	0.002	0.018	0.018	0	0	0	0	0	0	0	0.128	0.128	0.068	0.068	0.097	0.097	0.007	0.007	0.112	0.063	0.073	0	0	0	0	0.158	0.158	0.137	0.137	0.157	0.157	0.099	0.099	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0.051	0.016	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192	0.192	0.043	0.043	0	0	0	0	0	0	0	0	0
